ts,black_profile,white_profile,winner,result,moves,seconds,visits,komi,sgf,error,handicap
2026-09-12 19:01:02,preaz_10k,preaz_5k,W,W+R,147,143.7,40,7.5,g00000_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-12 19:01:02,preaz_10k,preaz_5k,W,W+R,145,144.0,40,7.5,g00001_preaz_10k_vs_preaz_5k.sgf,,0
2026-09-12 19:03:35,rank_1k,rank_5k,B,B+R,146,244.9,40,7.5,g00000_rank_1k_vs_rank_5k.sgf,,0
2026-09-12 19:03:35,rank_1k,rank_5k,B,B+R,176,275.5,40,7.5,g00002_rank_1k_vs_rank_5k.sgf,,0
2026-09-12 19:03:35,rank_5k,rank_1k,W,W+R,189,281.1,40,7.5,g00003_rank_5k_vs_rank_1k.sgf,,0
2026-09-12 19:03:35,rank_5k,rank_1k,W,W+34.5,256,301.4,40,7.5,g00001_rank_5k_vs_rank_1k.sgf,,0
2026-09-12 19:08:48,preaz_5k,preaz_15k,B,B+R,146,135.7,40,7.5,g00000_preaz_5k_vs_preaz_15k.sgf,,0
2026-09-12 19:08:48,rank_1k,preaz_1k,W,W+8.5,306,223.9,40,7.5,g00001_rank_1k_vs_preaz_1k.sgf,,0
2026-09-12 19:11:03,preaz_15k,preaz_10k,W,W+R,233,166.1,40,7.5,g00002_preaz_15k_vs_preaz_10k.sgf,,0
2026-09-12 19:12:32,preaz_15k,preaz_10k,W,W+R,167,130.7,40,7.5,g00003_preaz_15k_vs_preaz_10k.sgf,,0
2026-09-12 19:13:49,preaz_1k,preaz_5k,B,B+R,146,113.0,40,7.5,g00004_preaz_1k_vs_preaz_5k.sgf,,0
2026-09-12 19:14:42,rank_3d,rank_5d,W,W+R,189,150.3,40,7.5,g00005_rank_3d_vs_rank_5d.sgf,,0
2026-09-12 19:15:42,preaz_5k,preaz_15k,B,B+R,146,108.7,40,7.5,g00006_preaz_5k_vs_preaz_15k.sgf,,0
2026-09-12 19:17:13,rank_1k,rank_5k,B,B+R,146,139.5,40,7.5,g00007_rank_1k_vs_rank_5k.sgf,,0
2026-09-12 19:17:31,preaz_15k,preaz_20k,W,W+R,199,154.3,40,7.5,g00008_preaz_15k_vs_preaz_20k.sgf,,0
2026-09-12 19:19:32,rank_1d,rank_5k,B,B+R,292,179.0,40,7.5,g00009_rank_1d_vs_rank_5k.sgf,,0
2026-09-12 19:20:05,rank_5d,rank_3d,B,B+27.5,324,234.4,40,7.5,g00010_rank_5d_vs_rank_3d.sgf,,0
2026-09-12 19:22:31,rank_5k,rank_1d,W,W+R,163,90.7,40,7.5,g00011_rank_5k_vs_rank_1d.sgf,,0
2026-09-12 19:24:02,preaz_5k,preaz_15k,B,B+R,146,117.2,40,7.5,g00013_preaz_5k_vs_preaz_15k.sgf,,0
